#Host,Grade,HasWarnings,Cert Expiry,Chain Status,Forward Secrecy,Heartbeat ext,Vuln Beast,Vuln Drown,Vuln Heartbleed,Vuln FREAK,Vuln openSsl Ccs,Vuln openSSL LuckyMinus20,Vuln POODLE,Vuln POODLE TLS,Support RC4,RC4 with modern protocols,RC4 Only,TLS 1.3,TLS 1.2,TLS 1.1,TLS 1.0,SSL 3.0 INSECURE,SSL 2.0 INSECURE
www.envoytx.com,B,False,2023-01-05,contains a self-signed root certificate,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,No,Yes,No,No,No,No
mas.worldpay.com,B,False,2022-09-17,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,No,Yes,No,No,No,No
www.envoyautoapi.com,B,False,2022-09-24,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,No,Yes,No,No,No,No
www.envoytransfers.com,B,False,2023-01-08,contains a self-signed root certificate,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,No,Yes,No,No,No,No
secure-test.worldpay.com,B,False,2022-04-12,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,No,Yes,No,No,No,No
secure-test1.worldpay.com,B,False,2023-01-31,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,No,Yes,No,No,No,No
www.mwam.com,A+,False,2022-06-12,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,Yes,Yes,No,No,No,No
www.mwam.com,A+,False,2022-06-12,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,Yes,Yes,No,No,No,No
www.mwam.com,A+,False,2022-06-12,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,Yes,Yes,No,No,No,No
www.mwam.com,A+,False,2022-06-12,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,Yes,Yes,No,No,No,No
www.devtty.uk,A,False,2022-03-25,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,Yes,Yes,No,No,No,No
www.devtty.uk,A,False,2022-03-25,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,Yes,Yes,No,No,No,No
www.devtty.uk,A,False,2022-03-25,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,Yes,Yes,No,No,No,No
www.devtty.uk,A,False,2022-03-25,none,Yes (with most browsers) ROBUST,False,False,False,False,False,False,False,False,False,False,False,False,Yes,Yes,No,No,No,No
